"","created","user_id","method","currency","amount"
"1274","2020-12-03 16:40:15.334+00",3309,"bt","mxn",200
"1275","2020-12-03 16:40:14.453+00",3309,"bt","mxn",200
"1276","2020-12-03 16:40:13.60+00",3309,"spei","mxn",50
"1277","2020-12-03 16:39:48.964+00",3309,"bt","mxn",1
"1278","2020-12-03 16:39:48.403+00",3309,"bt","mxn",1
"1279","2020-12-03 16:39:47.509+00",3309,"bt","mxn",1
"1280","2020-12-03 14:22:43.508+00",3309,"bt","mxn",200
"1281","2020-12-03 14:22:42.733+00",3309,"bt","mxn",200
"1282","2020-12-03 14:22:41.888+00",3309,"bt","mxn",200
"1283","2020-12-03 14:22:41.085+00",3309,"bt","mxn",200
"1284","2020-12-03 14:22:40.219+00",3309,"spei","mxn",50
"1285","2020-12-03 14:22:22.405+00",3309,"bt","mxn",1
"1286","2020-12-03 14:22:21.832+00",3309,"bt","mxn",1
"1287","2020-12-03 14:22:20.902+00",3309,"bt","mxn",1
"1288","2020-12-03 12:06:57.176+00",3309,"bt","mxn",200
"1289","2020-12-03 12:06:56.682+00",3309,"bt","mxn",200
"1290","2020-12-03 12:06:56.002+00",3309,"bt","mxn",200
"1291","2020-12-03 12:06:55.236+00",3309,"bt","mxn",200
"1292","2020-12-03 12:06:54.421+00",3309,"spei","mxn",50
"1293","2020-12-03 12:06:37.592+00",3309,"bt","mxn",1
"1294","2020-12-03 12:06:37.035+00",3309,"bt","mxn",1
"1295","2020-12-03 12:06:36.135+00",3309,"bt","mxn",1
